PSNR slice, PSNR end, PSNR scherzer
4.183536884112496,4.5049297020882255,4.739893048911513
4.4600138246861265,4.498894144714451,4.739893048911513
4.019977163254117,4.493426262803442,4.739893048911513
3.9720992513648468,4.511567824075679,4.739893048911513
4.133967069607171,4.437226339020758,4.739893048911513
4.274129556878329,4.415492052791682,4.739893048911513
3.708707446560255,4.535723922307468,4.739893048911513
3.838608634672372,4.5378818637064136,4.739893048911513
4.011131753055121,4.500631708485802,4.739893048911513
3.9934084188456302,4.480449331358523,4.739893048911513
4.3071229255767935,4.481725347449894,4.739893048911513
4.403837767524535,4.5084422157683175,4.739893048911513
4.11927162188214,4.457043071246581,4.739893048911513
4.179300915682868,4.572557539560309,4.739893048911513
4.338312053235295,4.544636794152372,4.739893048911513
4.569066668744144,4.492522369617536,4.739893048911513
4.0072577867740415,4.511461376808948,4.739893048911513
4.472465892252088,4.524404576580119,4.739893048911513
4.540907092892681,4.590634992919481,4.739893048911513
4.356418208789014,4.4031674219547545,4.739893048911513
