PSNR slice, PSNR end, PSNR scherzer
4.655262761811151,4.465552285054211,4.739893048911513
4.645987141178346,4.492952955386,4.739893048911513
4.672251069351024,4.5136375339606545,4.739893048911513
4.643535151032488,4.5788943381566,4.739893048911513
4.6472751725943064,4.539115094458494,4.739893048911513
4.650556813425931,4.594647012162245,4.739893048911513
4.645456639855117,4.562377362685192,4.739893048911513
4.657934887509664,4.528537657956247,4.739893048911513
4.638985296069881,4.453494389247169,4.739893048911513
4.710699841469749,4.377972430461319,4.739893048911513
4.71706031302133,4.388178845786243,4.739893048911513
4.708713077472299,4.392706294271894,4.739893048911513
4.6592538978727776,4.462808598917607,4.739893048911513
4.6753346515780025,4.622625029128679,4.739893048911513
4.660861571682672,4.569723824309067,4.739893048911513
4.541249818064347,4.503152790511284,4.739893048911513
4.568970846745978,4.546852537840484,4.739893048911513
4.746671678844265,4.5960400274137285,4.739893048911513
4.64037981526248,4.347107694832712,4.739893048911513
4.650442700076423,4.351385749987741,4.739893048911513
